year,sex,births
1880,F,90993
1880,M,110493
1881,F,91955
1881,M,100748
1882,F,107851
1882,M,113687
1883,F,112322
1883,M,104632
1884,F,129021
1884,M,114445
1885,F,133056
1885,M,107802
1886,F,144538
1886,M,110785
1887,F,145983
1887,M,101412
1888,F,178631
1888,M,120857
1889,F,178369
1889,M,110590
1890,F,190377
1890,M,111026
1891,F,185486
1891,M,101198
1892,F,212350
1892,M,122038
1893,F,212908
1893,M,112319
1894,F,222923
1894,M,115775
1895,F,233632
1895,M,117398
1896,F,237924
1896,M,119575
1897,F,234199
1897,M,112760
1898,F,258771
1898,M,122703
1899,F,233022
1899,M,106218
1900,F,299873
1900,M,150554
1901,F,239351
1901,M,106478
1902,F,264079
1902,M,122660
1903,F,261976
1903,M,119240
1904,F,275375
1904,M,128129
1905,F,291641
1905,M,132319
1906,F,295301
1906,M,133159
1907,F,318558
1907,M,146838
1908,F,334277
1908,M,154339
1909,F,347191
1909,M,163983
1910,F,396416
1910,M,194198
1911,F,418180
1911,M,225936
1912,F,557939
1912,M,429926
1913,F,624317
1913,M,512482
1914,F,761376
1914,M,654746
1915,F,983824
1915,M,848647
1916,F,1044249
1916,M,890142
1917,F,1081194
1917,M,925512
1918,F,1157585
1918,M,1013720
1919,F,1130149
1919,M,980215
1920,F,1198214
1920,M,1064468
1921,F,1232845
1921,M,1101374
1922,F,1200796
1922,M,1088380
1923,F,1206239
1923,M,1096227
1924,F,1248821
1924,M,1132671
1925,F,1217217
1925,M,1115798
1926,F,1185078
1926,M,1110440
1927,F,1192207
1927,M,1126259
1928,F,1152836
1928,M,1107113
1929,F,1116284
1929,M,1074833
1930,F,1125521
1930,M,1096663
1931,F,1064233
1931,M,1038586
1932,F,1066930
1932,M,1043512
1933,F,1007523
1933,M,990677
1934,F,1043879
1934,M,1031962
1935,F,1048264
1935,M,1040649
1936,F,1040068
1936,M,1036662
1937,F,1063722
1937,M,1065964
1938,F,1103173
1938,M,1108480
1939,F,1096394
1939,M,1106328
1940,F,1143281
1940,M,1158668
1941,F,1207799
1941,M,1227621
1942,F,1350524
1942,M,1380468
1943,F,1394891
1943,M,1426400
1944,F,1327077
1944,M,1362379
1945,F,1307299
1945,M,1346227
1946,F,1570555
1946,M,1622540
1947,F,1772246
1947,M,1827415
1948,F,1697664
1948,M,1753472
1949,F,1709607
1949,M,1770104
1950,F,1713001
1950,M,1789936
1951,F,1798537
1951,M,1877553
1952,F,1854427
1952,M,1943533
1953,F,1880072
1953,M,1968772
1954,F,1941562
1954,M,2036948
1955,F,1954508
1955,M,2057390
1956,F,2007416
1956,M,2113067
1957,F,2043983
1957,M,2155427
1958,F,2010620
1958,M,2120014
1959,F,2022889
1959,M,2133147
1960,F,2022062
1960,M,2132588
1961,F,2016762
1961,M,2121629
1962,F,1966340
1962,M,2068493
1963,F,1927055
1963,M,2031443
1964,F,1894277
1964,M,1992762
1965,F,1764815
1965,M,1861138
1966,F,1691650
1966,M,1783577
1967,F,1650576
1967,M,1744222
1968,F,1639977
1968,M,1738585
1969,F,1686705
1969,M,1789326
1970,F,1747811
1970,M,1858782
1971,F,1663043
1971,M,1768325
1972,F,1521044
1972,M,1622178
1973,F,1457913
1973,M,1558562
1974,F,1467227
1974,M,1572415
1975,F,1457349
1975,M,1561378
1976,F,1464852
1976,M,1569098
1977,F,1532574
1977,M,1642747
1978,F,1531242
1978,M,1641143
1979,F,1604588
1979,M,1720781
1980,F,1659259
1980,M,1782388
1981,F,1666833
1981,M,1789568
1982,F,1692036
1982,M,1812642
1983,F,1669486
1983,M,1790670
1984,F,1682396
1984,M,1802735
1985,F,1719450
1985,M,1846162
1986,F,1714053
1986,M,1839442
1987,F,1737508
1987,M,1865113
1988,F,1779112
1988,M,1911858
1989,F,1843057
1989,M,1999840
1990,F,1897256
1990,M,2052070
1991,F,1874110
1991,M,2019018
1992,F,1842818
1992,M,1995760
1993,F,1807795
1993,M,1959712
1994,F,1784407
1994,M,1930363
1995,F,1757240
1995,M,1902100
1996,F,1751681
1996,M,1892700
1997,F,1739331
1997,M,1883571
1998,F,1765390
1998,M,1909676
1999,F,1772139
1999,M,1918267
2000,F,1813960
2000,M,1961702
2001,F,1798284
2001,M,1940498
2002,F,1794358
2002,M,1938941
2003,F,1824406
2003,M,1972439
2004,F,1833005
2004,M,1981557
2005,F,1843890
2005,M,1993285
2006,F,1896468
2006,M,2050234
2007,F,1916888
2007,M,2069242
2008,F,1883645
2008,M,2032310
2009,F,1827643
2009,M,1973359
2010,F,1759010
2010,M,1898382
