last_letter,1910,1960,2010
a,0.0050309477955488725,0.0024402275545018543,0.014980125180285107
b,0.002116396667318922,0.0018343908903173047,0.0204695366896652
c,0.002482002904252361,0.007256910383065083,0.012181426077575535
d,0.11385802119486298,0.12290794096187356,0.023387284540203182
e,0.14755558759616474,0.08385257724417468,0.06795892502141297
f,0.0007827063100546864,0.004325261138110127,0.001187853656429528
g,0.0022502806414072237,0.009488471284655076,0.001404353812878546
h,0.0455617462589728,0.03790746266977025,0.05167031714375716
i,0.0008444989134800564,0.0006030231812239401,0.02262769031733339
j,0.0,0.0,0.0007685492171754684
k,0.03658122122781903,0.04938365966609584,0.01854105232771908
l,0.06501611757072678,0.10490352566928071,0.07036676496089828
m,0.05804385215089754,0.03382697454923314,0.02465678667412565
n,0.14341548316666494,0.15252172477759418,0.3627705066735778
o,0.017065057312639676,0.012828544472725158,0.04268108315397007
p,0.0031720203091689923,0.005674795131549085,0.0012689753695515444
q,0.0,0.0,0.00018015341485538738
r,0.06448058167437358,0.031034123797001576,0.08747659849282179
s,0.13081494145150827,0.1027296411683832,0.06514494975194665
t,0.07287922635660511,0.06565496945495332,0.022860520169280998
u,0.00012358520685073996,5.720748686572371e-05,0.0012210398117976256
v,0.0001132864396131783,3.6575278487921717e-05,0.0014343793820211107
w,0.006328592467481643,0.007710818967376727,0.016148488554990514
x,0.00396502538646124,0.0018508028742541926,0.008613650993319575
y,0.07734889133770688,0.1609865571784142,0.05816795565908231
z,0.00016992965941976747,0.00018381422009314504,0.0018310329533255162
